公司名称,板块,审核状态,地区,行业,保荐机构,律师事务所,会计师事务所,受理日期,更新日期,链接
长春长光辰芯微电子股份有限公司,科创板,终止,吉林,计算机、通信和其他电子设备制造业,国泰君安证券股份有限公司,北京市嘉源律师事务所,天健会计师事务所（特殊普通合伙）,2025-01-07,2023-06-30,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1927
宁波中淳高科股份有限公司,主板,终止,浙江,非金属矿物制品业,东方证券股份有限公司,国浩律师（上海）事务所,天健会计师事务所（特殊普通合伙）,2025-01-06,2023-03-02,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1618
上海维安电子股份有限公司,主板,终止,上海,计算机、通信和其他电子设备制造业,中信证券股份有限公司,上海市广发律师事务所,立信会计师事务所（特殊普通合伙）,2025-01-02,2023-06-20,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1821
新特能源股份有限公司,主板,终止,新疆,计算机、通信和其他电子设备制造业,广发证券股份有限公司,国浩律师（北京）事务所,信永中和会计师事务所（特殊普通合伙）,2024-12-24,2023-03-04,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1697
中钢集团马鞍山矿山研究总院股份有限公司,科创板,终止,安徽,专业技术服务业,中信证券股份有限公司,上海市锦天城律师事务所,立信会计师事务所（特殊普通合伙）,2024-12-20,2022-12-19,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1355
长光卫星技术股份有限公司,科创板,终止,吉林,软件和信息技术服务业,海通证券股份有限公司,国浩律师（上海）事务所,中汇会计师事务所（特殊普通合伙）,2024-12-04,2022-12-23,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1358
杭州飞仕得科技股份有限公司,科创板,终止,浙江,计算机、通信和其他电子设备制造业,国信证券股份有限公司,北京市金杜律师事务所,天健会计师事务所（特殊普通合伙）,2024-12-02,2023-06-05,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1819
新黎明科技股份有限公司,主板,终止,江苏,专用设备制造业,华泰联合证券有限责任公司,北京德恒律师事务所,立信会计师事务所（特殊普通合伙）,2024-11-01,2023-02-28,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1514
上海如鲲新材料股份有限公司,科创板,终止,上海,化学原料和化学制品制造业,东方证券股份有限公司,国浩律师（杭州）事务所,天健会计师事务所（特殊普通合伙）,2024-10-28,2023-06-29,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1876
无锡海达光能股份有限公司,主板,终止,江苏,非金属矿物制品业,华英证券有限责任公司,国浩律师（上海）事务所,中汇会计师事务所（特殊普通合伙）,2024-10-21,2023-03-01,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1517
深圳飞骧科技股份有限公司,科创板,终止,广东,计算机、通信和其他电子设备制造业,招商证券股份有限公司,广东信达律师事务所,致同会计师事务所（特殊普通合伙）,2024-10-14,2022-10-10,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1320
南京轩凯生物科技股份有限公司,科创板,终止,江苏,化学原料和化学制品制造业,华泰联合证券有限责任公司,江苏世纪同仁律师事务所,天衡会计师事务所（特殊普通合伙）,2024-09-29,2022-12-29,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1404
南通联亚药业股份有限公司,科创板,终止,江苏,医药制造业,中国国际金融股份有限公司,北京市君合律师事务所,普华永道中天会计师事务所（特殊普通合伙）,2024-09-27,2022-11-22,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1335
杭州键嘉医疗科技股份有限公司,科创板,终止,浙江,专用设备制造业,中信证券股份有限公司,北京市金杜律师事务所,毕马威华振会计师事务所（特殊普通合伙）,2024-09-26,2023-04-02,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1786
长沙北斗产业安全技术研究院股份有限公司,科创板,终止,湖南,计算机、通信和其他电子设备制造业,中泰证券股份有限公司,国浩律师（长沙）事务所,天职国际会计师事务所（特殊普通合伙）,2024-09-26,2023-05-30,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1816
深圳和美精艺半导体科技股份有限公司,科创板,终止,广东,计算机、通信和其他电子设备制造业,开源证券股份有限公司,北京市中伦律师事务所,天健会计师事务所（特殊普通合伙）,2024-09-25,2023-12-27,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=2026
