序号,公司名称,链接,板块,状态,地区,行业,保荐机构,律师事务所,会计师事务所,受理日期,更新日期
1,广州银行股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002966,主板,终止(撤回),广东,货币金融服务,国泰君安,北京大成律师事务所,天职国际会计师事务所（特殊普通合伙）,2025/1/17,2023/3/3
2,深圳市城市规划设计研究院股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003400,创业板,终止(撤回),广东,专业技术服务业,国信证券,北京国枫律师事务所,天健会计师事务所（特殊普通合伙）,2025/1/16,2023/6/28
3,北京六合宁远医药科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002260,创业板,终止(撤回),北京,研究和试验发展,中信建投,北京国枫律师事务所,信永中和会计师事务所（特殊普通合伙）,2025/1/14,2022/6/24
4,广州明美新能源股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002271,创业板,终止(撤回),广东,电气机械和器材制造业,德邦证券,北京市金杜律师事务所,华兴会计师事务所（特殊普通合伙）,2025/1/12,2022/6/24
5,江苏永成汽车零部件股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003286,创业板,终止(撤回),江苏,汽车制造业,中信建投,江苏世纪同仁律师事务所,容诚会计师事务所（特殊普通合伙）,2025/1/11,2023/5/30
6,武汉元丰汽车电控系统股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002268,创业板,终止(撤回),湖北,计算机、通信和其他电子设备制造业,银河证券,国浩律师（北京）事务所,致同会计师事务所（特殊普通合伙）,2025/1/9,2022/6/27
7,赛克赛斯生物科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002889,主板,终止(撤回),山东,专用设备制造业,海通证券,上海澄明则正律师事务所,信永中和会计师事务所（特殊普通合伙）,2025/1/7,2023/2/23
8,北京凝思软件股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002592,创业板,终止(撤回),北京,软件和信息技术服务业,华泰联合,上海市方达律师事务所,容诚会计师事务所（特殊普通合伙）,2025/1/5,2022/12/27
9,佛山水务环保股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003271,主板,终止(撤回),广东,水的生产和供应业,中信证券,北京市康达律师事务所,容诚会计师事务所（特殊普通合伙）,2025/1/4,2023/5/30
10,浙江德斯泰新材料股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003432,创业板,终止(撤回),浙江,橡胶和塑料制品业,国投证券,上海市锦天城律师事务所,中汇会计师事务所（特殊普通合伙）,2025/1/3,2023/6/27
1,广州银行股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002966,主板,终止(撤回),广东,货币金融服务,"
               国泰君安 
                               
          ",北京大成律师事务所,天职国际会计师事务所（特殊普通合伙）,2025/1/17,2023/3/3
2,深圳市城市规划设计研究院股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003400,创业板,终止(撤回),广东,专业技术服务业,"
               国信证券 
                               
          ",北京国枫律师事务所,天健会计师事务所（特殊普通合伙）,2025/1/16,2023/6/28
3,北京六合宁远医药科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002260,创业板,终止(撤回),北京,研究和试验发展,"
               中信建投 
                               
          ",北京国枫律师事务所,信永中和会计师事务所（特殊普通合伙）,2025/1/14,2022/6/24
4,广州明美新能源股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002271,创业板,终止(撤回),广东,电气机械和器材制造业,"
               德邦证券 
                               
          ",北京市金杜律师事务所,华兴会计师事务所（特殊普通合伙）,2025/1/12,2022/6/24
5,江苏永成汽车零部件股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003286,创业板,终止(撤回),江苏,汽车制造业,"
               中信建投 
                               
          ",江苏世纪同仁律师事务所,容诚会计师事务所（特殊普通合伙）,2025/1/11,2023/5/30
6,武汉元丰汽车电控系统股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002268,创业板,终止(撤回),湖北,计算机、通信和其他电子设备制造业,"
               银河证券 
                               
          ",国浩律师（北京）事务所,致同会计师事务所（特殊普通合伙）,2025/1/9,2022/6/27
7,赛克赛斯生物科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002889,主板,终止(撤回),山东,专用设备制造业,"
               海通证券 
                               
          ",上海澄明则正律师事务所,信永中和会计师事务所（特殊普通合伙）,2025/1/7,2023/2/23
8,北京凝思软件股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002592,创业板,终止(撤回),北京,软件和信息技术服务业,"
               华泰联合 
                               
          ",上海市方达律师事务所,容诚会计师事务所（特殊普通合伙）,2025/1/5,2022/12/27
