公司名称,链接,申报稿,上会稿,注册稿
八马茶业股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001373,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202204/RAS_202204_00018055361EDE3FE6908C1A72260D3F.pdf,--,--
八马茶业股份有限公司2,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002991,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202303/RAS_202303_1A2B6F15579F4D528C6B38DA44EA9FED.pdf,--,--
北京六合宁远医药科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002260,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202309/RAS_202309_C075A6F3CC8C442281CEEF833EE44C0A.pdf,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202311/RAS_202311_7082B4186C4A4F658C8290E7BBB09A94.pdf,--
北京六合宁远医药科技股份有限公司2,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002260,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202309/RAS_202309_C075A6F3CC8C442281CEEF833EE44C0A.pdf,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202311/RAS_202311_7082B4186C4A4F658C8290E7BBB09A94.pdf,--
北京凝思软件股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002592,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202306/RAS_202306_A95D4385CE1D4D72A2740D2A319F1202.pdf,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202307/RAS_202307_2C143B0AF90646A39825494D2437FDCB.pdf,--
北京凝思软件股份有限公司2,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002592,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202306/RAS_202306_A95D4385CE1D4D72A2740D2A319F1202.pdf,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202307/RAS_202307_2C143B0AF90646A39825494D2437FDCB.pdf,--
佛山水务环保股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003271,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202406/RAS_202406_29210586AD10FF340C47AFAC428C82B57C62EF.pdf,--,--
佛山水务环保股份有限公司2,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003271,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202406/RAS_202406_29210586AD10FF340C47AFAC428C82B57C62EF.pdf,--,--
格林生物科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003283,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202406/RAS_202406_2920205E50841FB8FD4B5CBBCFFF3989A0AFCA.pdf,--,--
格林生物科技股份有限公司2,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001178,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc/RAS_0001764803A8D83FD4D3A96E56B5363F.pdf,--,--
广州明美新能源股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002271,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202212/RAS_202212_EDA73027783441F693340965D30F01C1.pdf,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202302/RAS_202302_BEA43F6353014D42A584D06C0D487594.pdf,--
广州明美新能源股份有限公司2,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002271,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202212/RAS_202212_EDA73027783441F693340965D30F01C1.pdf,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202302/RAS_202302_BEA43F6353014D42A584D06C0D487594.pdf,--
广州银行股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002966,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202406/RAS_202406_291955ABEACA41361848EB8E7B00A3D994E08D.pdf,--,--
广州银行股份有限公司2,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002966,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202406/RAS_202406_291955ABEACA41361848EB8E7B00A3D994E08D.pdf,--,--
华智机器股份公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003470,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202306/RAS_202306_0BFA1795758741B392C973E9662CF93A.pdf,--,--
华智机器股份公司2,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1000841,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc/RAS_000177261D7D1F3FDC930DE35DF12E3F.pdf,--,--
江苏永成汽车零部件股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003286,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202403/RAS_202403_30193012585EC9F48547C3B9C7AD579D697996.pdf,--,--
江苏永成汽车零部件股份有限公司2,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003286,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202403/RAS_202403_30193012585EC9F48547C3B9C7AD579D697996.pdf,--,--
美智光电科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001591,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202206/RAS_202206_000181AD97ED6F3FE237D85D115B863F.pdf,--,--
美智光电科技股份有限公司2,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003191,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202307/RAS_202307_EDD46B379FA64217A57E6D3532420FC7.pdf,--,--
江苏米格新材料股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003309,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202312/RAS_202312_C53C361E07AD44D0BEC0876A64DB0330.pdf,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202401/RAS_202401_191715B7FE42F097554F22BCA7040EB0A23270.pdf,--
长春海谱润斯科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003132,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202408/RAS_202408_011745C817E1BDB5484255887FD13AFB03EC3D.pdf,--,--
筠诚和瑞环境科技集团股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002279,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202307/RAS_202307_8AEF75402493489EAACFC514634B0F9D.pdf,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202308/RAS_202308_5F41A83BE2D445849EE68F951B454E1D.pdf,--
