公司名称,链接
长春长光辰芯微电子股份有限公司,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1927
宁波中淳高科股份有限公司,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1618
上海维安电子股份有限公司,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1821
新特能源股份有限公司,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1697
中钢集团马鞍山矿山研究总院股份有限公司,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1355
长光卫星技术股份有限公司,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1358
杭州飞仕得科技股份有限公司,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1819
新黎明科技股份有限公司,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1514
上海如鲲新材料股份有限公司,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1876
无锡海达光能股份有限公司,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1517
深圳飞骧科技股份有限公司,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1320
南京轩凯生物科技股份有限公司,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1404
南通联亚药业股份有限公司,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1335
杭州键嘉医疗科技股份有限公司,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1786
长沙北斗产业安全技术研究院股份有限公司,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1816
深圳和美精艺半导体科技股份有限公司,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=2026
